participant_id repetition n_correct n_responses p_correct
2 1 3 9 0.3333333333333333
2 2 4 9 0.4444444444444444
2 3 5 9 0.5555555555555556
2 4 2 9 0.2222222222222222
2 5 4 9 0.4444444444444444
2 6 5 9 0.5555555555555556
2 7 4 9 0.4444444444444444
2 8 5 9 0.5555555555555556
2 9 4 9 0.4444444444444444
2 10 5 9 0.5555555555555556
2 11 7 9 0.7777777777777778
2 12 7 9 0.7777777777777778
2 13 8 9 0.8888888888888888
2 14 8 9 0.8888888888888888
2 15 8 9 0.8888888888888888
2 16 8 9 0.8888888888888888
2 17 8 9 0.8888888888888888
2 18 6 9 0.6666666666666666
2 19 8 9 0.8888888888888888
2 20 8 9 0.8888888888888888
17 1 2 9 0.2222222222222222
17 2 2 9 0.2222222222222222
17 3 2 9 0.2222222222222222
17 4 1 9 0.1111111111111111
17 5 2 9 0.2222222222222222
17 6 1 9 0.1111111111111111
17 7 2 9 0.2222222222222222
17 8 5 9 0.5555555555555556
17 9 2 9 0.2222222222222222
17 10 0 9 0
17 11 3 9 0.3333333333333333
17 12 3 9 0.3333333333333333
17 13 4 9 0.4444444444444444
17 14 3 9 0.3333333333333333
17 15 4 9 0.4444444444444444
17 16 4 9 0.4444444444444444
17 17 2 9 0.2222222222222222
17 18 4 9 0.4444444444444444
17 19 3 9 0.3333333333333333
17 20 2 9 0.2222222222222222
19 1 1 9 0.1111111111111111
19 2 6 9 0.6666666666666666
19 3 7 9 0.7777777777777778
19 4 6 9 0.6666666666666666
19 5 1 9 0.1111111111111111
19 6 5 9 0.5555555555555556
19 7 5 9 0.5555555555555556
19 8 9 9 1
19 9 8 9 0.8888888888888888
19 10 9 9 1
19 11 9 9 1
19 12 9 9 1
19 13 9 9 1
19 14 9 9 1
19 15 9 9 1
19 16 9 9 1
19 17 9 9 1
19 18 9 9 1
19 19 9 9 1
19 20 9 9 1
25 1 8 9 0.8888888888888888
25 2 8 9 0.8888888888888888
25 3 8 9 0.8888888888888888
25 4 7 9 0.7777777777777778
25 5 9 9 1
25 6 9 9 1
25 7 9 9 1
25 8 9 9 1
25 9 9 9 1
25 10 9 9 1
